Employee ID,Risk Score,Primary Risk Factors,Managerial Advice
00-49684512,98.3%,State New York | Base Salary | State Michigan,Schedule a 1-on-1 stay interview.
00-40327888,98.2%,State New York | Base Salary | State Michigan,Schedule a 1-on-1 stay interview.
00-87975659,95.7%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-99369591,95.5%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-82146810,95.2%,State New York | Base Salary | State Michigan,Schedule a 1-on-1 stay interview.
00-93853635,94.7%,State New York | State Michigan | Education Level,Schedule a 1-on-1 stay interview.
00-82509424,94.5%,Salary vs. Education Average | Age | Department Sales,Review salary compared to their degree and department avg.
00-96853189,94.1%,State New York | Base Salary | State Michigan,Schedule a 1-on-1 stay interview.
00-53827193,93.5%,State New York | Base Salary | State Michigan,Schedule a 1-on-1 stay interview.
00-95901983,91.2%,Base Salary | State New York | State Michigan,Review base salary against market benchmarks.
00-18311653,91.0%,Education Level | Department Sales | Salary vs. Education Average,Schedule a 1-on-1 stay interview.
00-16139411,90.9%,State New York | State Michigan | Base Salary,Schedule a 1-on-1 stay interview.
00-27289389,90.3%,State New York | State Michigan | Salary-to-Age Ratio,Schedule a 1-on-1 stay interview.
00-76334640,89.4%,Salary vs. Education Average | Department Sales | Gender Male,Review salary compared to their degree and department avg.
00-25489430,89.3%,Department Operations | Department Sales | Base Salary,Schedule a 1-on-1 stay interview.
00-58150867,89.1%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-71673933,88.7%,Salary vs. Education Average | Gender Male | Department Operations,Review salary compared to their degree and department avg.
00-31400078,88.6%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-26376401,88.3%,State New York | State Michigan | Department Sales,Schedule a 1-on-1 stay interview.
00-56109986,88.1%,Base Salary | Department Operations | Department Sales,Review base salary against market benchmarks.
00-19976458,88.0%,Tenure-to-Age Ratio | State New York | Education Level,"Discuss career progression path; Identify if they feel ""stuck""."
00-81695192,87.3%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-52138595,86.9%,Education Level | Tenure (Years) | Tenure-to-Age Ratio,Schedule a 1-on-1 stay interview.
00-24243111,86.8%,State New York | Salary-to-Age Ratio | State Michigan,Schedule a 1-on-1 stay interview.
00-51013170,86.7%,Tenure (Years) | Gender Male | Department Sales,Discuss long-term retention plans and loyalty benefits.
00-42624124,86.5%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-69788371,86.5%,Salary-to-Age Ratio | Base Salary | Department Operations,Check if salary aligns with age and experience level.
00-50958413,86.4%,Base Salary | Department Operations | Gender Male,Review base salary against market benchmarks.
00-57201978,86.3%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-79173535,86.1%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-66691738,86.0%,Salary vs. Education Average | Department Operations | Department Sales,Review salary compared to their degree and department avg.
00-98504649,85.9%,Salary vs. Education Average | Gender Male | Department Sales,Review salary compared to their degree and department avg.
00-29780216,85.8%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-73391831,85.6%,Department Operations | Department Sales | Gender Male,Schedule a 1-on-1 stay interview.
00-47221734,85.6%,Base Salary | Department Operations | Gender Male,Review base salary against market benchmarks.
00-55741665,85.5%,State New York | Salary vs. Education Average | State Michigan,Schedule a 1-on-1 stay interview.
00-49119248,85.1%,Department Operations | Base Salary | Department Sales,Schedule a 1-on-1 stay interview.
00-78754653,84.9%,Salary vs. Education Average | Department Operations | Department Sales,Review salary compared to their degree and department avg.
00-75987927,84.6%,State New York | Base Salary | State Michigan,Schedule a 1-on-1 stay interview.
00-76025948,83.8%,Salary-to-Age Ratio | Base Salary | Department Operations,Check if salary aligns with age and experience level.
00-94042431,83.8%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-60259293,83.7%,Education Level | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-47663633,83.5%,Gender Male | Department Operations | Department Sales,Schedule a 1-on-1 stay interview.
00-94862181,83.3%,Department Operations | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-89426243,83.1%,Base Salary | Department Operations | Tenure (Years),Review base salary against market benchmarks.
00-73904001,83.1%,Department Operations | Tenure (Years) | Department Sales,Schedule a 1-on-1 stay interview.
00-61052956,83.0%,Salary vs. Education Average | Department Operations | Department Sales,Review salary compared to their degree and department avg.
00-15071837,82.8%,Salary vs. Education Average | Department Sales | Department Operations,Review salary compared to their degree and department avg.
00-34984420,82.7%,Education Level | Department Sales | Gender Male,Schedule a 1-on-1 stay interview.
00-35264294,82.5%,Salary-to-Age Ratio | Base Salary | Gender Male,Check if salary aligns with age and experience level.
00-71456194,82.4%,Base Salary | Education Level | Department Sales,Review base salary against market benchmarks.
00-35277376,82.3%,Gender Male | Department Operations | Department Sales,Schedule a 1-on-1 stay interview.
00-33974297,82.3%,Department Operations | Gender Male | Department Sales,Schedule a 1-on-1 stay interview.
00-13315946,82.2%,Tenure (Years) | Department Operations | Department Sales,Discuss long-term retention plans and loyalty benefits.
00-38158070,82.1%,Base Salary | Gender Male | Department Operations,Review base salary against market benchmarks.
00-81014138,81.7%,Department Sales | Department Operations | Salary vs. Education Average,Schedule a 1-on-1 stay interview.
